HEAT,Reallusion,Mixamo,Cascadeur,3DS Max Biped,DeepMotion,Maya,Rokoko,UE4,UE5,Unity,Xsens
heat_Root,RL_BoneRoot,,,,root,Character1_Reference,Root,root,root,,Reference
heat_Hips,CC_Base_Hip,mixamorig:Hips,,Hips,hips_JNT,Character1_Hips,Hips,pelvis,pelvis,Hips,Hips
heat_Spine,CC_Base_Pelvis,mixamorig:Spine,pelvis,,spine_JNT,Character1_Spine,Spine1,spine_01,spine_01,Spine,Spine
heat_Spine1,CC_Base_Spine01,mixamorig:Spine1,,Chest,spine1_JNT,Character1_Spine1,Spine2,spine_02,spine_02,,Spine1
heat_Spine2,CC_Base_Spine02,mixamorig:Spine2,,Chest2,spine2_JNT,Character1_Spine2,Spine3,spine_03,spine_03,,Spine2
heat_Neck,CC_Base_NeckTwist01,mixamorig:Neck,,Neck,neck_JNT,Character1_Neck,Neck,neck_01,neck_01,Neck,Neck
heat_Head,CC_Base_Head,mixamorig:Head,,Head,head_JNT,Character1_Head,Head,head,head,Head,Head
heat_Head_Top,,mixamorig:HeadTop_End,,Bip001 HeadNub,,,HeadVertex,,,,
heat_Shoulder_r,CC_Base_R_Clavicle,mixamorig:RightShoulder,,RightCollar,r_shoulder_JNT,Character1_RightShoulder,RightShoulder,clavicle_r,clavicle_r,RightShoulder,RightShoulder
heat_UpperArm_r,CC_Base_R_Upperarm,mixamorig:RightArm,,RightShoulder,r_arm_JNT,Character1_RightArm,RightArm,upperarm_r,upperarm_r,RightUpperArm,RightArm
heat_LowerArm_r,CC_Base_R_Forearm,mixamorig:RightForeArm,,RightElbow,r_forearm_JNT,Character1_RightForeArm,RightForeArm,lowerarm_r,lowerarm_r,LeftLowerArm,RightForeArm
heat_Hand_r,CC_Base_R_Hand,mixamorig:RightHand,,RightWrist,r_hand_JNT,Character1_RightHand,RightHand,hand_r,hand_r,RightHand,RightHand
heat_Thumb1_r,CC_Base_R_Thumb1,mixamorig:RightHandThumb1,,,r_handThumb1_JNT,Character1_RightHandThumb1,RightFinger1Metacarpal,thumb_01_r,thumb_01_r,RightThumbProximal,RightHandThumb1
heat_Thumb2_r,CC_Base_R_Thumb2,mixamorig:RightHandThumb2,,,r_handThumb2_JNT,Character1_RightHandThumb2,RightFinger1Proximal,thumb_02_r,thumb_02_r,RightThumbIntermediate,RightHandThumb2
heat_Thumb3_r,CC_Base_R_Thumb3,mixamorig:RightHandThumb3,,,r_handThumb3_JNT,Character1_RightHandThumb3,RightFinger1Distal,thumb_03_r,thumb_03_r,RightThumbDistal,RightHandThumb3
heat_Index1_r,CC_Base_R_Index1,mixamorig:RightHandIndex1,,,r_handIndex1_JNT,Character1_RightHandIndex1,RightFinger2Metacarpal,index_01_r,index_metacarpal_r,RightIndexProximal,RightHandIndex1
heat_Index2_r,CC_Base_R_Index2,mixamorig:RightHandIndex2,,,r_handIndex2_JNT,Character1_RightHandIndex2,RightFinger2Proximal,index_02_r,index_01_r,RightIndexIntermediate,RightHandIndex2
heat_Index3_r,CC_Base_R_Index3,mixamorig:RightHandIndex3,,,r_handIndex3_JNT,Character1_RightHandIndex3,RightFinger2Medial,index_03_r,index_02_r,RightIndexDistal,RightHandIndex3
heat_Middle1_r,CC_Base_R_Mid1,mixamorig:RightHandMiddle1,,,r_handMiddle1_JNT,Character1_RightHandMiddle1,RightFinger3Metacarpal,middle_01_r,middle_metacarpal_r,RightMiddleProximal,RightHandMiddle1
heat_Middle2_r,CC_Base_R_Mid2,mixamorig:RightHandMiddle2,,,r_handMiddle2_JNT,Character1_RightHandMiddle2,RightFinger3Proximal,middle_02_r,middle_01_r,RightMiddleIntermediate,RightHandMiddle2
heat_Middle3_r,CC_Base_R_Mid3,mixamorig:RightHandMiddle3,,,r_handMiddle3_JNT,Character1_RightHandMiddle3,RightFinger3Medial,middle_03_r,middle_02_r,RightMiddleDistal,RightHandMiddle3
heat_Ring1_r,CC_Base_R_Ring1,mixamorig:RightHandRing1,,,r_handRing1_JNT,Character1_RightHandRing1,RightFinger4Metacarpal,ring_01_r,ring_metacarpal_r,RightRingProximal,RightHandRing1
heat_Ring2_r,CC_Base_R_Ring2,mixamorig:RightHandRing2,,,r_handRing2_JNT,Character1_RightHandRing2,RightFinger4Proximal,ring_02_r,ring_01_r,RightRingIntermediate,RightHandRing2
heat_Ring3_r,CC_Base_R_Ring3,mixamorig:RightHandRing3,,,r_handRing3_JNT,Character1_RightHandRing3,RightFinger4Medial,ring_03_r,ring_02_r,RightRingDistal,RightHandRing3
heat_Pinky1_r,CC_Base_R_Pinky1,mixamorig:RightHandPinky1,,,r_handPinky1_JNT,Character1_RightHandPinky1,RightFinger5Metacarpal,pinky_01_r,pinky_metacarpal_r,RightLittleProximal,RightHandPinky1
heat_Pinky2_r,CC_Base_R_Pinky2,mixamorig:RightHandPinky2,,,r_handPinky2_JNT,Character1_RightHandPinky2,RightFinger5Proximal,pinky_02_r,pinky_01_r,RightLittleIntermediate,RightHandPinky2
heat_Pinky3_r,CC_Base_R_Pinky3,mixamorig:RightHandThumb3,,,r_handPinky3_JNT,Character1_RightHandPinky3,RightFinger5Medial,pinky_03_r,pinky_02_r,RightLittleDistal,RightHandPinky3
heat_Shoulder_l,CC_Base_L_Clavicle,mixamorig:LeftShoulder,,LeftCollar,l_shoulder_JNT,Character1_LeftShoulder,LeftShoulder,clavicle_l,clavicle_l,LeftShoulder,LeftShoulder
heat_Arm_l,CC_Base_L_Upperarm,mixamorig:LeftArm,,LeftShoulder,l_arm_JNT,Character1_LeftArm,LeftArm,upperarm_l,upperarm_l,LeftUpperArm,LeftArm
